Date	Time	DT00233_1-2DHW_Actual_Temperature	DT00233_0DHW_setpoint	DT00209_0-1Outdoor_temperature_measured_value	DT00233_3-4DHW_cylinder_temperature	DT00048_0-1mains_voltage	DT00227_0.0Operation_State_Source__HEAT	DT00227_0.2Operation_State_Source__IDLE	DT00227_13System_Power	DT00228_23-24Appliance_Supply_Temperature	DT00022_0CH_switch_on_off	DT00231_0Circulation_pump_request	DT00233_17-19Number_of_starts_DHW	DT00233_14-16Total_working_time_DHW	DT00233_13.2DHW_status_info_2__Circulation_Pump_is_running	DT00233_12.6DHW_status_info_1___free	
16.07.2013	23:55:19									34.50							
16.07.2013	23:55:20									34.50							
16.07.2013	23:55:20					0.30				34.50							
16.07.2013	23:55:20					0.30	0	1	0	34.50							
16.07.2013	23:55:21	54.50	10		54.50	0.30	0	1	0	34.50			57	1243	0	0	
16.07.2013	23:55:22	54.50	10		54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:55:28	54.50	10		54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:55:28	54.50	10		54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:55:28	54.50	10		54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:55:29	54.50	10		54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:55:29	54.50	10		54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:55:38	54.50	10		54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:55:38	54.50	10		54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:55:38	54.50	10		54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:55:39	54.50	10	17.20	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:55:39	54.50	10	17.20	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:55:39	54.50	10	17.20	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:55:47	54.50	10	17.20	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:55:48	54.50	10	17.20	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:55:48	54.50	10	17.20	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:55:48	54.50	10	17.20	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:56:18	54.50	10	17.20	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:56:22	54.50	10	17.20	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:56:22	54.50	10	17.20	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:56:22	54.50	10	17.20	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:56:23	54.50	10	17.20	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:56:23	54.50	10	17.20	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:56:32	54.50	10	17.20	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:56:32	54.50	10	17.20	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:56:33	54.50	10	17.20	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:56:33	54.50	10	17.10	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:56:33	54.50	10	17.10	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:56:34	54.50	10	17.10	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:56:42	54.50	10	17.10	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:56:42	54.50	10	17.10	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:56:42	54.50	10	17.10	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:56:43	54.50	10	17.10	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:56:43	54.50	10	17.10	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
16.07.2013	23:56:52	54.50	10	17.10	54.50	0.30	0	1	0	34.50		0	57	1243	0	0	
